
步骤0	当前分析栈:main{AU}#	剩余符号：main{inti;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤1	当前分析栈:{AU}#	剩余符号：{inti;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤2	当前分析栈:AU}#	剩余符号：inti;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤3	当前分析栈:XAU}#	剩余符号：inti;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤4	当前分析栈:YZ;AU}#	剩余符号：inti;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤5	当前分析栈:intZ;AU}#	剩余符号：inti;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤6	当前分析栈:Z;AU}#	剩余符号：i;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤7	当前分析栈:idZ';AU}#	剩余符号：i;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤8	当前分析栈:Z';AU}#	剩余符号：;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤9	当前分析栈:;AU}#	剩余符号：;intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤10	当前分析栈:AU}#	剩余符号：intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤11	当前分析栈:XAU}#	剩余符号：intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤12	当前分析栈:YZ;AU}#	剩余符号：intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤13	当前分析栈:intZ;AU}#	剩余符号：intj;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
步骤14	当前分析栈:Z;AU}#	剩余符号：j;intk;for(i=0;i<3;i++){for(j=0;j<3;j++){writej;}}for(k=9;k>=0;k--){writek;}}#	语义栈:#
